Race,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Total:,"4,903,185","731,545","7,278,717","3,017,804","39,512,223","5,758,736","3,565,287","973,764","705,749","21,477,737","10,617,423","1,415,872","1,787,065","12,671,821","6,732,219","3,155,070","2,913,314","4,467,673","4,648,794","1,344,212","6,045,680","6,892,503","9,986,857","5,639,632","2,976,149","6,137,428","1,068,778","1,934,408","3,080,156","1,359,711","8,882,190","2,096,829","19,453,561","10,488,084","762,062","11,689,100","3,956,971","4,217,737","12,801,989","1,059,361","5,148,714","884,659","6,829,174","28,995,881","3,205,958","623,989","8,535,519","7,614,893","1,792,147","5,822,434","578,759","3,193,694"
        White alone,"3,192,955","437,714","3,929,213","2,171,931","14,356,081","3,888,129","2,339,665","597,001","263,153","11,378,457","5,502,156","305,020","1,458,027","7,690,980","5,272,268","2,684,701","2,196,485","3,762,699","2,707,712","1,247,719","3,011,980","4,846,166","7,457,021","4,451,938","1,675,524","4,854,400","916,551","1,515,756","1,473,587","1,219,067","4,824,866","770,678","10,710,524","6,552,128","637,376","9,157,673","2,567,995","3,158,958","9,680,558","750,077","3,271,797","721,020","5,006,712","11,929,568","2,490,644","576,892","5,212,705","5,126,694","1,649,468","4,704,609","484,403","42,606"
        Black or African American alone,"1,312,821","21,773","319,045","464,996","2,171,989","227,812","360,830","213,819","311,575","3,272,904","3,348,754","25,195","12,349","1,759,293","632,503","125,861","161,482","357,789","1,494,358","20,542","1,798,416","489,592","1,350,329","362,789","1,125,175","697,316","6,167","92,057","285,369","19,469","1,124,643","39,742","2,763,709","2,214,270","21,758","1,445,171","281,284","75,363","1,374,488","61,201","1,354,547","20,313","1,132,469","3,442,881","34,368","8,127","1,625,942","295,239","64,996","366,735","6,425","3,388"
        American Indian and Alaska Native alone,"19,364","113,467","289,161","16,216","149,063","31,851","5,738","3,195","1,668","42,758","19,850","3,133","18,354","12,938","11,852","9,771","19,238","6,894","24,272","8,949","14,884","13,013","52,365","51,930","13,037","23,140","64,628","14,464","27,771","1,524","9,261","181,772","42,268","113,771","38,164","16,111","303,050","40,821","17,150","2,291","15,810","73,878","17,899","77,748","30,210","2,435","17,497","86,811","3,529","49,093","12,291",459
        Asian alone,"65,215","43,322","235,202","45,839","5,786,711","183,793","165,523","36,366","28,346","587,358","435,875","539,409","24,186","710,119","169,824","75,672","85,643","72,276","81,016","15,094","383,867","470,127","325,616","283,422","30,836","126,278","8,675","47,389","256,708","35,761","849,020","33,694","1,669,362","307,366","10,630","273,219","88,647","191,850","450,916","36,215","86,100","11,530","124,108","1,430,236","75,560","8,470","560,030","680,421","14,085","166,443","4,544","2,650"
        Native Hawaiian and Other Pacific Islander alone,"1,520","9,715","13,361","12,673","141,846","6,727","1,155",428,90,"13,927","5,811","140,656","2,289","2,897","2,726","1,406","2,092","3,903",938,222,"2,297","2,473","1,900","2,618",175,"8,469",224,"1,733","20,153",667,"2,714",629,"3,725","5,003","2,792","4,296","3,543","13,164","2,595",250,"7,376","2,073","3,374","21,484","29,108",336,"4,347","48,667",286,"3,903",717,0
        Some other race alone,"9,623","2,096","10,110","3,094","107,538","8,905","11,912","4,046","2,427","82,214","36,739","3,631","2,487","22,113","14,484","3,158","4,072","6,168","11,477","2,502","18,960","57,348","10,364","12,703","3,794","12,046","1,358","1,110","11,965","1,433","47,706","3,788","107,705","21,879",624,"19,236","3,887","5,530","19,913","8,741","8,058",241,"15,077","43,532","6,713",716,"23,329","14,188","2,569","5,824",137,"6,235"
        Two or more races:,"82,391","50,910","172,033","71,104","1,224,113","154,616","79,510","25,519","19,013","436,490","225,596","247,964","39,879","257,181","143,008","57,019","89,498","89,927","78,818","26,117","172,105","160,049","263,289","160,015","37,465","151,445","30,847","42,427","104,004","27,608","167,135","33,576","407,011","250,672","20,232","305,805","270,459","165,212","258,539","27,943","106,548","22,586","140,408","525,590","77,301","14,605","263,515","371,150","30,391","113,058","11,635","3,597"
            Two races including Some other race,"2,245",672,"5,109","1,212","52,948","6,172","5,810",868,659,"19,850","12,286","1,867",609,"10,181","3,129",836,903,"1,221","2,085",702,"7,627","15,664","5,974","3,704",542,"3,057",873,"1,239","3,382",504,"17,256","1,594","42,729","8,009",99,"5,143","2,559","4,893","8,496","3,325","3,334",90,"5,332","17,138","1,487",118,"7,130","7,873","1,192","2,877",238,250
"            Two races excluding Some other race, and three or more races","80,146","50,238","166,924","69,892","1,171,165","148,444","73,700","24,651","18,354","416,640","213,310","246,097","39,270","247,000","139,879","56,183","88,595","88,706","76,733","25,415","164,478","144,385","257,315","156,311","36,923","148,388","29,974","41,188","100,622","27,104","149,879","31,982","364,282","242,663","20,133","300,662","267,900","160,319","250,043","24,618","103,214","22,496","135,076","508,452","75,814","14,487","256,385","363,277","29,199","110,181","11,397","3,347"
    Hispanic or Latino:,"219,296","52,548","2,310,592","231,951","15,574,882","1,256,903","600,954","93,390","79,477","5,663,629","1,042,642","150,864","229,494","2,216,300","485,554","197,482","354,804","168,017","250,203","23,067","643,171","853,735","525,973","314,217","90,143","264,334","40,328","219,472","900,599","54,182","1,856,845","1,032,950","3,749,257","1,022,995","30,486","467,589","438,106","566,839","997,830","172,643","298,478","33,018","389,127","11,524,842","462,054","12,408","828,154","991,723","26,823","412,769","58,607","3,134,759"
